Block Block Interactions Count,0.0684
Guess Count,0.0954
Hidden Pair Block Count,0.0183
Hidden Pair Col Count,0.0065
Hidden Pair Row Count,-0.0018
Naked Pair Block Count,0.0109
Naked Pair Col Count,0.001
Naked Pair Row Count,-0.0094
Naked Quad Col Count,0.0245
Naked Quad Row Count,-0.0052
Naked Triple Block Count,-0.0158
Naked Triple Col Count,0.0178
Naked Triple Row Count,0.0236
Necessary In Block Count,-0.0133
Necessary In Col Count,-0.0023
Necessary In Row Count,-0.0044
Number Unfilled Cells,-0.015
Number of Steps,0.0041
Obvious In Block Count,0.0037
Obvious In Col Count,0.0149
Obvious In Row Count,0.0268
Only Legal Number Count,-0.0038
Percentage Fill Steps,2.3746
Pointing Pair Col Count,0.0564
Pointing Pair Row Count,0.0584
Steps Until Nonfill,0.0126
XWing Col Count,0.0524
XWing Row Count,0.0191
Constant,-0.6639
